file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
A Two-Step Linear Mixing Model for Unmixing Under Hyperspectral Variability.pdf,A Two-Step Linear Mixing Model for Unmixing Under Hyperspectral Variability,10.1109/IGARSS55030.2025.11243310,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability; attention,10.1109/igarss55030.2025.11243310,1
A Two-Stream Stacked Autoencoder With Inter-Class Separability for Bilinear Hyperspectral Unmixing.pdf,A Two-Stream Stacked Autoencoder With Inter-Class Separability for Bilinear Hyperspectral Unmixing,10.1109/TCI.2024.3369410,2024,IEEE Transactions on Computational Imaging,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; attention; multiscale; bilinear,10.1109/tci.2024.3369410,1
A hyperspectral unmixing model for local distance-weighted variation.pdf,A hyperspectral unmixing model for local distance-weighted variation,10.1109/IGARSS55030.2025.11242428,,TBD,yes,,linear,blind,linear blind unmixing; spectral variability,10.1109/igarss55030.2025.11242428,1
ACR-Net Adaptive Correlation Refined Hyperspectral Unmixing.pdf,ACR-Net: Adaptive Correlation Refined Hyperspectral Unmixing,10.1109/TGRS.2025.3581078,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; graph; attention,10.1109/tgrs.2025.3581078,1
AD-HKFCM A Robust Nonlinear Spectral Variability-Aware Unmixing via Intra-Inter-Class Affinity Cohesion.pdf,AD-HKFCM: A Robust Nonlinear Spectral Variability-Aware Unmixing via Intra/Inter-Class Affinity Cohesion,10.1109/JSTARS.2026.3659984,2026,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; spectral variability; kernel,10.1109/jstars.2026.3659984,1
AE-RED A Hyperspectral Unmixing Framework Powered by Deep Autoencoder and Regularization by Denoising.pdf,AE-RED: A Hyperspectral Unmixing Framework Powered by Deep Autoencoder and Regularization by Denoising,10.1109/TGRS.2024.3377472,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; plug-and-play; attention,10.1109/tgrs.2024.3377472,2
AE-RED_A_Hyperspectral_Unmixing_Framework_Powered_by_Deep_Autoencoder_and_Regularization_by_Denoising.pdf,AE-RED: A Hyperspectral Unmixing Framework Powered by Deep Autoencoder and Regularization by Denoising,10.1109/TGRS.2024.3377472,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; plug-and-play; attention,10.1109/tgrs.2024.3377472,2
A_Biobjective_Model-Driven_Autocoder_for_Blind_Hyperspectral_Unmixing.pdf,A Biobjective Model-Driven Autocoder for Blind Hyperspectral Unmixing,10.1109/TGRS.2025.3577325,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; attention; kernel,10.1109/tgrs.2025.3577325,2
A_Spectral-Spatial_Attention_Network_for_Hyperspectral_Unmixing.pdf,A Spectral-Spatial Attention Network for Hyperspectral Unmixing,10.1109/TGRS.2025.3576479,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; attention,10.1109/tgrs.2025.3576479,2
Active Hyperspectral-Based Projects at the Algerian Space Agency.pdf,Active Hyperspectral-Based Projects at the Algerian Space Agency,10.1109/M2GARSS57310.2024.10537363,,TBD,no,related application / not core HU survey,,,,10.1109/m2garss57310.2024.10537363,1
Adaptive Multiorder Graph Regularized NMF With Dual Sparsity for Hyperspectral Unmixing.pdf,Adaptive Multiorder Graph Regularized NMF With Dual Sparsity for Hyperspectral Unmixing,10.1109/JSTARS.2025.3602505,2025,TBD,yes,,linear,blind,linear blind unmixing; NMF; graph; attention,10.1109/jstars.2025.3602505,1
Adaptive Multitask Autoencoder-Based Hyperspectral Unmixing Exploiting Auxiliary Data via Graph Associations.pdf,Adaptive Multitask Autoencoder-Based Hyperspectral Unmixing Exploiting Auxiliary Data via Graph Associations,10.1109/TGRS.2025.3551119,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; graph,10.1109/tgrs.2025.3551119,2
Adaptive_Multitask_Autoencoder-Based_Hyperspectral_Unmixing_Exploiting_Auxiliary_Data_via_Graph_Associations (2).pdf,Adaptive Multitask Autoencoder-Based Hyperspectral Unmixing Exploiting Auxiliary Data via Graph Associations (2),10.1109/TGRS.2025.3551119,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; graph,10.1109/tgrs.2025.3551119,2
Addressing Spectral Variability in Hyperspectral Unmixing with a Novel Linear Adaptive Additive Mixing Model and an Associated ADMM-Based Approach.pdf,Addressing Spectral Variability in Hyperspectral Unmixing with a Novel Linear Adaptive Additive Mixing Model and an Associated ADMM-Based Approach,10.1109/M2GARSS57310.2024.10537424,,TBD,yes,,linear,blind,linear blind unmixing; NMF; graph; ADMM; spectral variability,10.1109/m2garss57310.2024.10537424,1
An ADMM-Based Approach Associated with a Linear Mixing Model Multiplicatively Tuned to Deal with Spectral Variability in Hyperspectral Unmixing.pdf,An ADMM-Based Approach Associated with a Linear Mixing Model Multiplicatively Tuned to Deal with Spectral Variability in Hyperspectral Unmixing,10.1109/M2GARSS57310.2024.10537495,,TBD,yes,,linear,blind,linear blind unmixing; ADMM; spectral variability,10.1109/m2garss57310.2024.10537495,1
An Abundance-Guided Attention Network for Hyperspectral Unmixing.pdf,An Abundance-Guided Attention Network for Hyperspectral Unmixing,10.1109/TGRS.2024.3353259,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; graph; attention; kernel,10.1109/tgrs.2024.3353259,1
An Admm-Based Hyperspectral Unmixing Algorithm For A Modified Almm Addressing Spectral Variability.pdf,An Admm-Based Hyperspectral Unmixing Algorithm For A Modified Almm Addressing Spectral Variability,10.1109/M2GARSS57310.2024.10537333,,TBD,yes,,linear,blind,linear blind unmixing; NMF; ADMM; spectral variability,10.1109/m2garss57310.2024.10537333,1
An Endmember-Oriented Transformer Network for Bundle-Based Hyperspectral Unmixing.pdf,An Endmember-Oriented Transformer Network for Bundle-Based Hyperspectral Unmixing,10.1109/TGRS.2025.3530642,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; transformer; bundle; spectral variability,10.1109/tgrs.2025.3530642,1
An Informed ADMM-Based Approach for Hyperspectral Unmixing Addressing Additively-Adapted Spectral Variability.pdf,An Informed ADMM-Based Approach for Hyperspectral Unmixing Addressing Additively-Adapted Spectral Variability,10.1109/M2GARSS57310.2024.10537402,,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing; NMF; ADMM; spectral variability,10.1109/m2garss57310.2024.10537402,1
Application of Spatio-Spectral Fusion and Sparse Unmixing for Alteration Mineral Mapping in the Eastern Tianshan- Xinjiang.pdf,"Application of Spatio-Spectral Fusion and Sparse Unmixing for Alteration Mineral Mapping in the Eastern Tianshan, Xinjiang",10.1109/WHISPERS69515.2025.11501573,,TBD,no,related application / not core HU survey,,,,10.1109/whispers69515.2025.11501573,1
Band Mask Network with Spatial-Spectral Fusion for Hyperspectral Unmixing.pdf,Band Mask Network with Spatial-Spectral Fusion for Hyperspectral Unmixing,10.1109/ICAISISAS64483.2025.11051638,,TBD,yes,,linear,blind,linear blind unmixing; graph,10.1109/icaisisas64483.2025.11051638,1
Bidirectional Recurrent Imputation and Abundance Estimation of LULC Classes With MODIS Multispectral Time-Series and Geo-Topographic and Climatic Data.pdf,Bidirectional Recurrent Imputation and Abundance Estimation of LULC Classes With MODIS Multispectral Time-Series and Geo-Topographic and Climatic Data,10.1109/JSTARS.2024.3359647,2024,TBD,yes,,linear,blind,linear blind unmixing; graph,10.1109/jstars.2024.3359647,1
Blind Unmixing Using Dispersion Model-Based Autoencoder to Address Spectral Variability.pdf,Blind Unmixing Using Dispersion Model-Based Autoencoder to Address Spectral Variability,10.1109/TGRS.2024.3399003,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability,10.1109/tgrs.2024.3399003,2
Blind_Unmixing_Using_Dispersion_Model-Based_Autoencoder_to_Address_Spectral_Variability.pdf,Blind Unmixing Using Dispersion Model-Based Autoencoder to Address Spectral Variability,10.1109/TGRS.2024.3399003,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability,10.1109/tgrs.2024.3399003,2
Bundle-Based Adaptive Dynamic PSO for Spectral Variability-Aware Endmember Extraction in Hyperspectral Imagery.pdf,Bundle-Based Adaptive Dynamic PSO for Spectral Variability-Aware Endmember Extraction in Hyperspectral Imagery,10.1109/WHISPERS69515.2025.11501580,,TBD,yes,,linear,blind,linear blind unmixing; graph; bundle; spectral variability,10.1109/whispers69515.2025.11501580,1
