file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
Nonlinear Blind Hyperspectral Unmixing Via Generalized Mixing Mechanism Fitting and Endmember Constraints.pdf,Nonlinear Blind Hyperspectral Unmixing Via Generalized Mixing Mechanism Fitting and Endmember Constraints,10.1109/IGARSS55030.2025.11242663,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder,10.1109/igarss55030.2025.11242663,1
Nonlinear Unmixing of Hyperspectral Images via Regularized Wasserstein Dictionary Learning.pdf,Nonlinear Unmixing of Hyperspectral Images via Regularized Wasserstein Dictionary Learning,10.1109/IGARSS53475.2024.10642450,,TBD,no,related application / not core HU survey,,,,10.1109/igarss53475.2024.10642450,1
Nonlinear Unmixing-Based Mucilage Monitoring in the Adriatic Sea.pdf,Nonlinear Unmixing-Based Mucilage Monitoring in the Adriatic Sea,10.1109/SIU66497.2025.11111876,2021,TBD,no,not HSI/MSI unmixing-focused,,,,10.1109/siu66497.2025.11111876,1
On the Exclusion of Hyperspectral Sources.pdf,On the Exclusion of Hyperspectral Sources,10.1109/ICASSP43922.2022.9747709,2025,TBD,yes,,linear,blind,linear blind unmixing; graph,10.1109/icassp43922.2022.9747709,1
On-the-Fly Spectral Unmixing for Real-Time Hyperspectral Data Analysis.pdf,On-the-Fly Spectral Unmixing for Real-Time Hyperspectral Data Analysis,10.1109/WHISPERS65427.2024.10876536,,TBD,yes,,linear,blind,linear blind unmixing,10.1109/whispers65427.2024.10876536,1
Optimal Transport Based Hyperspectral Unmixing for Highly Mixed Observations.pdf,Optimal Transport Based Hyperspectral Unmixing for Highly Mixed Observations,10.1109/WHISPERS65427.2024.10876524,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; NMF,10.1109/whispers65427.2024.10876524,1
Overparameterized Nonnegative Tensor Factorization for Hyperspectral Unmixing.pdf,Overparameterized Nonnegative Tensor Factorization for Hyperspectral Unmixing,10.1109/TGRS.2026.3676754,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; low-rank; tensor,10.1109/tgrs.2026.3676754,1
PRISM Pruning for Rank-adaptive Interpretable Segmentation Model with Application to Historical Document Multiband Images.pdf,PRISM: Pruning for Rank-adaptive Interpretable Segmentation Model with Application to Historical Document Multiband Images,10.1109/ICCVW69036.2025.00780,,TBD,no,related application / not core HU survey,,,,10.1109/iccvw69036.2025.00780,1
Physics-Guided Vision Transformer Network With Tokens Complementarity for Hyperspectral Unmixing.pdf,Physics-Guided Vision Transformer Network With Tokens Complementarity for Hyperspectral Unmixing,10.1109/TGRS.2026.3676520,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; transformer; tensor; unfolding,10.1109/tgrs.2026.3676520,1
Pixel-Level and Global Similarity-Based Adversarial Autoencoder Network for Hyperspectral Unmixing.pdf,Pixel-Level and Global Similarity-Based Adversarial Autoencoder Network for Hyperspectral Unmixing,10.1109/JSTARS.2025.3542228,2025,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; transformer; GAN,10.1109/jstars.2025.3542228,1
Pixel-Wise Shuffling with Collaborative Sparsity for Melanoma Hyperspectral Image Classification.pdf,Pixel-Wise Shuffling with Collaborative Sparsity for Melanoma Hyperspectral Image Classification,10.1109/WACV61041.2025.00632,,TBD,no,related application / not core HU survey,,,,10.1109/wacv61041.2025.00632,1
Pixel-to-Abundance Translation Conditional Generative Adversarial Networks Based on Patch Transformer for Hyperspectral Unmixing.pdf,Pixel-to-Abundance Translation: Conditional Generative Adversarial Networks Based on Patch Transformer for Hyperspectral Unmixing,10.1109/JSTARS.2024.3368286,2024,TBD,yes,,linear,blind,linear blind unmixing; transformer; GAN; attention,10.1109/jstars.2024.3368286,1
Plug-and-Play Prior for Sparse Hyperspectral Image Unmixing.pdf,Plug-and-Play Prior for Sparse Hyperspectral Image Unmixing,10.1109/ICCWAMTIP64812.2024.10873727,2024,TBD,yes,,linear,blind,linear blind unmixing; sparse; ADMM; plug-and-play,10.1109/iccwamtip64812.2024.10873727,1
Preprocessing Algorithm Leveraging Geometric Modeling for Scale Correction in Hyperspectral Images for Improved Unmixing Performance.pdf,Preprocessing Algorithm Leveraging Geometric Modeling for Scale Correction in Hyperspectral Images for Improved Unmixing Performance,10.1109/JSTARS.2026.3687834,2026,TBD,yes,,linear,blind,linear blind unmixing; KAN; graph; spectral variability,10.1109/jstars.2026.3687834,1
Probabilistic Simplex Component Analysis via Variational Auto-Encoding.pdf,Probabilistic Simplex Component Analysis via Variational Auto-Encoding,10.1109/ICASSP48485.2024.10448368,,TBD,yes,,linear,blind,linear blind unmixing; GAN,10.1109/icassp48485.2024.10448368,1
Proportional Perturbation Model for Hyperspectral Unmixing Accounting for Endmember Variability.pdf,Proportional Perturbation Model for Hyperspectral Unmixing Accounting for Endmember Variability,10.1109/LGRS.2024.3350889,2024,IEEE Geoscience and Remote Sensing Letters,yes,,nonlinear,blind,nonlinear blind unmixing; spectral variability,10.1109/lgrs.2024.3350889,1
Provable Unregistered Hyperspectral-Multispectral Image Fusion via Spectral Unmixing and Adversarial Learning.pdf,Provable Unregistered Hyperspectral-Multispectral Image Fusion via Spectral Unmixing and Adversarial Learning,10.1109/ICASSP55912.2026.11460454,,TBD,no,related application / not core HU survey,,,,10.1109/icassp55912.2026.11460454,1
Qi 等 - 2023 - Multiview spatial–spectral two-stream network for hyperspectral image unmixing.pdf,Multiview Spatial-Spectral Two-Stream Network for Hyperspectral Image Unmixing,10.1109/TGRS.2023.3237556,2023,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; attention,10.1109/tgrs.2023.3237556,1
Quantum-Inspired Virtual Prism for Multispectral Unmixing.pdf,Quantum-Inspired Virtual Prism for Multispectral Unmixing,10.1109/IGARSS55030.2025.11244014,,TBD,no,related application / not core HU survey,,,,10.1109/igarss55030.2025.11244014,1
REDU-Net Robust and Efficient Dynamic Unfolding Network for Abundance Estimation.pdf,REDU-Net: Robust and Efficient Dynamic Unfolding Network for Abundance Estimation,10.1109/TGRS.2025.3540378,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; GAN; attention; unfolding,10.1109/tgrs.2025.3540378,1
Refined Tokens Vision Transformer Network for Hyperspectral Image Unmixing.pdf,Refined Tokens Vision Transformer Network for Hyperspectral Image Unmixing,10.1109/IGARSS55030.2025.11243764,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; transformer,10.1109/igarss55030.2025.11243764,1
Robust Blind Linear Unmixing for Correlated Multimodal Images in Medical Applications.pdf,Robust Blind Linear Unmixing for Correlated Multimodal Images in Medical Applications,10.1109/URUCON63440.2024.10850209,,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; sparse; graph; multimodal,10.1109/urucon63440.2024.10850209,1
Robust Multiscale Spectral-Spatial Regularized Sparse Unmixing for Hyperspectral Imagery.pdf,Robust Multiscale Spectral-Spatial Regularized Sparse Unmixing for Hyperspectral Imagery,10.1109/JSTARS.2023.3337130,2024,TBD,yes,,linear,blind,linear blind unmixing; sparse; multiscale,10.1109/jstars.2023.3337130,1
Robust Sparse Unmixing via Continuous Mixed Norm to Address Mixed Noise.pdf,Robust Sparse Unmixing via Continuous Mixed Norm to Address Mixed Noise,10.1109/LGRS.2025.3548697,2025,IEEE Geoscience and Remote Sensing Letters,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; sparse; ADMM; attention,10.1109/lgrs.2025.3548697,1
Robust and Unified Semi-Supervised Unmixing of Hyperspectral Imaging for Linear and Multilinear Models.pdf,Robust and Unified Semi-Supervised Unmixing of Hyperspectral Imaging for Linear and Multilinear Models,,2025,TBD,yes,,hybrid/unclear,semi-supervised,hybrid semi-supervised unmixing; multilinear,robust and unified semi supervised unmixing of hyperspectral imaging for linear and multilinear models,1
SSLT-Net A Spatial-Spectral Linear Transformer Unmixing Network for Hyperspectral Image.pdf,SSLT-Net: A Spatial-Spectral Linear Transformer Unmixing Network for Hyperspectral Image,10.1109/LGRS.2024.3514888,2025,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; transformer; attention; multiscale,10.1109/lgrs.2024.3514888,1
SSST-GAN A Sampling-Based Spatial-Spectral Transformer and Generative Adversarial Network for Hyperspectral Unmixing.pdf,SSST-GAN: A Sampling-Based Spatial-Spectral Transformer and Generative Adversarial Network for Hyperspectral Unmixing,10.1109/JSTARS.2026.3655512,2026,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; transformer; sparse; GAN; attention,10.1109/jstars.2026.3655512,1
SVHAE Spectral Variability-Aware Hybrid Autoencoder for Hyperspectral Underwater Target Detection.pdf,SVHAE: Spectral Variability-Aware Hybrid Autoencoder for Hyperspectral Underwater Target Detection,,2025,TBD,no,related application / not core HU survey,,,,svhae spectral variability aware hybrid autoencoder for hyperspectral underwater target detection,1
Semi-NMF Regularization-Based Autoencoder Training for Hyperspectral Unmixing.pdf,Semi-NMF Regularization-Based Autoencoder Training for Hyperspectral Unmixing,10.1109/NCC60321.2024.10485752,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; NMF,10.1109/ncc60321.2024.10485752,1
SpACNN-LDVAE Spatial Attention Convolutional Latent Dirichlet Variational Autoencoder for Hyperspectral Pixel Unmixing.pdf,SpACNN-LDVAE: Spatial Attention Convolutional Latent Dirichlet Variational Autoencoder for Hyperspectral Pixel Unmixing,10.1109/IGARSS53475.2024.10640940,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; NMF; attention,10.1109/igarss53475.2024.10640940,1
Sparse Coding Inspired GAN for Hyperspectral Unmixing.pdf,Sparse Coding Inspired GAN for Hyperspectral Unmixing,10.1109/WHISPERS65427.2024.10876499,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; sparse; GAN,10.1109/whispers65427.2024.10876499,1
Sparse Regularization-Based Unmixing Methods for Photoacoustic Image Analysis.pdf,Sparse Regularization-Based Unmixing Methods for Photoacoustic Image Analysis,10.1109/ICIPMC62364.2024.10586605,,TBD,no,not HSI/MSI unmixing-focused,,,,10.1109/icipmc62364.2024.10586605,1
Sparse Unmixing with Dictionary-Based Spatial-Spectral Low-Rank Decomposition for Hyperspectral Anomaly Detection.pdf,Sparse Unmixing with Dictionary-Based Spatial-Spectral Low-Rank Decomposition for Hyperspectral Anomaly Detection,10.1109/ICVISP68610.2025.11451748,,TBD,no,related application / not core HU survey,,,,10.1109/icvisp68610.2025.11451748,1
Sparsity and Total Variation Constrained Multilayer Linear Unmixing for Hyperspectral Imagery.pdf,Sparsity and Total Variation Constrained Multilayer Linear Unmixing for Hyperspectral Imagery,10.1109/ICET64964.2025.11103336,,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing; NMF; sparse; graph; ADMM,10.1109/icet64964.2025.11103336,1
Spatial-Spectral Twin Autoencoders for Hyperspectral Unmixing Via Superpixel-Hypergraph-Augmented Feature Representation.pdf,Spatial-Spectral Twin Autoencoders for Hyperspectral Unmixing Via Superpixel-Hypergraph-Augmented Feature Representation,10.1109/IGARSS53475.2024.10642904,,TBD,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; sparse; graph; Hapke,10.1109/igarss53475.2024.10642904,1
Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution.pdf,Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution,10.1109/JSTARS.2025.3547347,2025,TBD,no,related application / not core HU survey,,,,10.1109/jstars.2025.3547347,1
SpectraMorph Structured Latent Learning for Self-Supervised Hyperspectral Super-Resolution.pdf,SpectraMorph: Structured Latent Learning for Self-Supervised Hyperspectral Super-Resolution,10.1109/ICASSP55912.2026.11461602,,TBD,no,related application / not core HU survey,,,,10.1109/icassp55912.2026.11461602,1
Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation.pdf,Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation,10.1109/WHISPERS69515.2025.11501619,,TBD,no,related application / not core HU survey,,,,10.1109/whispers69515.2025.11501619,1
Spectral Unmixing - Deep Learning for Pixel-wise Classification of Placental Multispectral Images.pdf,Spectral Unmixing + Deep Learning for Pixel-wise Classification of Placental Multispectral Images,10.1109/LA-CCI66231.2025.11270452,2025,TBD,no,related application / not core HU survey,,,,10.1109/la-cci66231.2025.11270452,1
Spectral Unmixing for Bare Soil Detection A Step Toward Soil Organic Carbon Estimation.pdf,Spectral Unmixing for Bare Soil Detection: A Step Toward Soil Organic Carbon Estimation,10.1109/MIGARS67156.2025.11231939,,TBD,no,related application / not core HU survey,,,,10.1109/migars67156.2025.11231939,1
Spectral Unmixing for Identification of Colorants in Candies Using Hyperspectral Imaging.pdf,Spectral Unmixing for Identification of Colorants in Candies Using Hyperspectral Imaging,10.1109/I5CPS67958.2026.11452578,2026,TBD,no,related application / not core HU survey,,,,10.1109/i5cps67958.2026.11452578,1
Spectral Variability Augmented Multilinear Mixing Model for Hyperspectral Nonlinear Unmixing.pdf,Spectral Variability Augmented Multilinear Mixing Model for Hyperspectral Nonlinear Unmixing,10.1109/LGRS.2024.3482103,2024,IEEE Geoscience and Remote Sensing Letters,yes,,nonlinear,blind,nonlinear blind unmixing; sparse; spectral variability; low-rank; multilinear,10.1109/lgrs.2024.3482103,1
Spectral Variability-Aware Cascaded Autoencoder for Hyperspectral Unmixing.pdf,Spectral Variability-Aware Cascaded Autoencoder for Hyperspectral Unmixing,10.1109/TGRS.2025.3543566,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability,10.1109/tgrs.2025.3543566,1
Stationary Wavelet Convolutional Network With Generative Feature Learning for Hyperspectral Unmixing.pdf,Stationary Wavelet Convolutional Network With Generative Feature Learning for Hyperspectral Unmixing,10.1109/TGRS.2024.3516114,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; graph,10.1109/tgrs.2024.3516114,1
Structure Low-Rank and Self-Representation Learning for Hyperspectral Nonlinear Unmixing.pdf,Structure Low-Rank and Self-Representation Learning for Hyperspectral Nonlinear Unmixing,10.1109/IGARSS55030.2025.11242895,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; NMF; sparse; low-rank,10.1109/igarss55030.2025.11242895,1
SuperRPCA A Collaborative Superpixel Representation Prior-Aided RPCA for Hyperspectral Anomaly Detection.pdf,SuperRPCA: A Collaborative Superpixel Representation Prior-Aided RPCA for Hyperspectral Anomaly Detection,10.1109/TGRS.2024.3459956,2024,IEEE Transactions on Geoscience and Remote Sensing,no,not HSI/MSI unmixing-focused,,,,10.1109/tgrs.2024.3459956,1
Superpixel-Based Autoencoder-Like Nonnegative Tensor Factorization for Hyperspectral Unmixing.pdf,Superpixel-Based Autoencoder-Like Nonnegative Tensor Factorization for Hyperspectral Unmixing,,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; NMF; spectral variability; low-rank,superpixel based autoencoder like nonnegative tensor factorization for hyperspectral unmixing,1
Superpixel-Based Low-Rank Tensor Factorization for Blind Nonlinear Hyperspectral Unmixing.pdf,Superpixel-Based Low-Rank Tensor Factorization for Blind Nonlinear Hyperspectral Unmixing,10.1109/JSEN.2024.3373477,2024,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; spectral variability; low-rank; tensor; multilinear,10.1109/jsen.2024.3373477,1
Superpixel-Guided Matrix-Valued Kernel Functions for Multiscale Nonlinear Hyperspectral Unmixing.pdf,Superpixel-Guided Matrix-Valued Kernel Functions for Multiscale Nonlinear Hyperspectral Unmixing,10.1109/JSTARS.2025.3630142,2026,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; sparse; multiscale; kernel,10.1109/jstars.2025.3630142,1
Synthesis of Abundance Maps Through Blind Hyperspectral Unmixing and Deep Diffusion Models.pdf,Synthesis of Abundance Maps Through Blind Hyperspectral Unmixing and Deep Diffusion Models,10.1109/IGARSS55030.2025.11243836,,TBD,yes,,linear,blind,linear blind unmixing; diffusion,10.1109/igarss55030.2025.11243836,1
Theoretical and Practical Progress in Hyperspectral Pixel Unmixing with Large Spectral Libraries from a Sparse Perspective.pdf,Theoretical and Practical Progress in Hyperspectral Pixel Unmixing with Large Spectral Libraries from a Sparse Perspective,10.1109/WHISPERS65427.2024.10876427,,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; sparse,10.1109/whispers65427.2024.10876427,1
Toward Robust Hyperspectral Unmixing Mixed Noise Modeling and Image-Domain Regularization.pdf,Toward Robust Hyperspectral Unmixing: Mixed Noise Modeling and Image-Domain Regularization,10.1109/JSTARS.2024.3379558,2024,TBD,yes,,linear,blind,linear blind unmixing; sparse; GAN,10.1109/jstars.2024.3379558,1
Transformer for Multitemporal Hyperspectral Image Unmixing.pdf,Transformer for Multitemporal Hyperspectral Image Unmixing,,2025,TBD,yes,,linear,blind,linear blind unmixing; transformer; attention,transformer for multitemporal hyperspectral image unmixing,1
Transformer-Enhanced CNN Based on Intensive Feature for Hyperspectral Unmixing.pdf,Transformer-Enhanced CNN Based on Intensive Feature for Hyperspectral Unmixing,10.1109/LGRS.2024.3485899,2024,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; autoencoder; transformer; sparse; GAN,10.1109/lgrs.2024.3485899,1
Two-Stage Evolutionary Algorithm Based on Subspace Specified Searching for Hyperspectral Endmember Extraction.pdf,Two-Stage Evolutionary Algorithm Based on Subspace Specified Searching for Hyperspectral Endmember Extraction,10.1109/JSTARS.2023.3333955,2024,TBD,yes,,linear,blind,linear blind unmixing; graph,10.1109/jstars.2023.3333955,1
Two-Stream Autoencoder-Based Hyperspectral Unmixing using Hapke Model.pdf,Two-Stream Autoencoder-Based Hyperspectral Unmixing using Hapke Model,10.1109/IGARSS53475.2024.10640399,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; Hapke; bilinear,10.1109/igarss53475.2024.10640399,1
UADNet A Joint Unmixing and Anomaly Detection Network Based on Deep Clustering for Hyperspectral Image.pdf,UADNet: A Joint Unmixing and Anomaly Detection Network Based on Deep Clustering for Hyperspectral Image,10.1109/TGRS.2024.3375934,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2024.3375934,1
UNMamba Cascaded Spatial-Spectral Mamba for Blind Hyperspectral Unmixing.pdf,UNMamba: Cascaded Spatial-Spectral Mamba for Blind Hyperspectral Unmixing,10.1109/LGRS.2025.3545505,2025,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; Mamba,10.1109/lgrs.2025.3545505,1
URDM Hyperspectral Unmixing Regularized by Diffusion Models.pdf,URDM: Hyperspectral Unmixing Regularized by Diffusion Models,10.1109/TIP.2025.3638151,2025,TBD,yes,,linear,blind,linear blind unmixing; diffusion; graph; ADMM,10.1109/tip.2025.3638151,1
Unidirectional Local-Attention Autoencoder Network for Spectral Variability Unmixing.pdf,Unidirectional Local-Attention Autoencoder Network for Spectral Variability Unmixing,10.1109/TGRS.2024.3375598,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability; GAN; attention,10.1109/tgrs.2024.3375598,2
Unidirectional_Local-Attention_Autoencoder_Network_for_Spectral_Variability_Unmixing.pdf,Unidirectional Local-Attention Autoencoder Network for Spectral Variability Unmixing,10.1109/TGRS.2024.3375598,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability; GAN; attention,10.1109/tgrs.2024.3375598,2
Unified Unsupervised Unmixing With Sparse Noise Estimation for Linear and Multilinear Models.pdf,Unified Unsupervised Unmixing With Sparse Noise Estimation for Linear and Multilinear Models,10.1109/LSP,2025,TBD,no,not HSI/MSI unmixing-focused,,,,10.1109/lsp,1
UnmixDiff_Unmixing-Based_Diffusion_Model_for_Hyperspectral_Image_Synthesis.pdf,UnmixDiff: Unmixing-Based Diffusion Model for Hyperspectral Image Synthesis,10.1109/TGRS.2024.3425517,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; diffusion,10.1109/tgrs.2024.3425517,1
Unmixing Before Fusion A Generalized Paradigm for Multi-Source-Based Hyperspectral Image Synthesis.pdf,Unmixing Before Fusion: A Generalized Paradigm for Multi-Source-Based Hyperspectral Image Synthesis,10.1109/CVPR52733.2024.00888,,TBD,yes,,linear,blind,linear blind unmixing,10.1109/cvpr52733.2024.00888,1
Unrolling_Plug-and-Play_Network_for_Hyperspectral_Unmixing.pdf,Unrolling Plug-and-Play Network for Hyperspectral Unmixing,10.1109/TGRS.2025.3540992,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; ADMM; plug-and-play; attention; multiscale,10.1109/tgrs.2025.3540992,1
Unsupervised Nonlinear Hyperspectral Unmixing Based on an Extended Multilinear Mixing Model-Inspired Dual-Stream Network.pdf,Unsupervised Nonlinear Hyperspectral Unmixing Based on an Extended Multilinear Mixing Model-Inspired Dual-Stream Network,10.1109/IGARSS53475.2024.10641679,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; ADMM; multilinear; bilinear,10.1109/igarss53475.2024.10641679,1
Updated Homogeneity Criteria Based Low-Dimensional Representation for Hyperspectral Unmixing.pdf,Updated Homogeneity Criteria Based Low-Dimensional Representation for Hyperspectral Unmixing,,2025,TBD,yes,,linear,blind,linear blind unmixing; NMF,updated homogeneity criteria based low dimensional representation for hyperspectral unmixing,1
Urban Vegetation Mapping with Hyperspectral Prisma Data through an Original NMF-Based Unmixing Algorithm Associated with the Augmented Linear Mixing Model Addressing Spectral Variability.pdf,Urban Vegetation Mapping with Hyperspectral Prisma Data through an Original NMF-Based Unmixing Algorithm Associated with the Augmented Linear Mixing Model Addressing Spectral Variability,10.1109/IGARSS55030.2025.11242884,,TBD,no,related application / not core HU survey,,,,10.1109/igarss55030.2025.11242884,1
